"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"CE 407","Dewaikar D.M.","62","9","9B-LC 201-15:30:00-16:55:009A-LC 201-15:30:00-16:55:00"
"CE 407","S. Dasaka Murthy","58","9","9A-CE-228-15:30:00-16:55:009B-CE-228-15:30:00-16:55:00"
"CE 442","Choudhury Deepankar","18","10","10A-CE-206-14:00:00-15:25:0010B-CE-206-14:00:00-15:25:00"
"CE 463","Swagata Basu","66","8","8A-CE-209-14:00:00-15:25:008B-CE-209-14:00:00-15:25:00"
"CE 463","Subimal Ghosh","55","8","8A-LC 002-14:00:00-15:25:008B-LC 002-14:00:00-15:25:00"
"CE 482","Venkata S. Delhi","78","11","11B-LC 002-15:30:00-16:55:0011A-LC 002-15:30:00-16:55:00"
"CE 484","Prakash Nanthagopalan","24","12","12B-CE-233-17:30:00-18:55:0012A-CE-233-17:30:00-18:55:00"
"CE 492","Mandal J.N.","32","3","3A-CE-228-10:35:00-11:30:003C-CE-228-08:30:00-09:25:003B-CE-228-11:35:00-12:30:00"
"CE 603","Desai Yogesh M.","52","12","12B-CE-218-17:30:00-18:55:0012A-CE-218-17:30:00-18:55:00"
"CE 608","Subimal Ghosh","19","6","6B-CE-206-11:05:00-12:30:006A-CE-206-11:05:00-12:30:00"
"CE 611","Meera  Raghunandan","10","15","15B-CE-206-19:00:00-20:25:0015A-CE-206-19:00:00-20:25:00"
"CE 616","Sinha Ravi","42","3","3B-CE-218-11:35:00-12:30:003C-CE-218-08:30:00-09:25:003A-CE-218-10:35:00-11:30:00"
"CE 616","041067 - Ravi Sinha","","","XC-LC 002-17:30:00-18:55:00XD-LC 002-19:00:00-20:25:00"
"CE 623","M.M.Inamdar","44","14","14A-CE-208-17:30:00-18:55:0014B-CE-208-17:30:00-18:55:00"
"CE 626","Rastogi A.K.","15","14","14A-CE-233-17:30:00-18:55:0014B-CE-233-17:30:00-18:55:00"
"CE 627","Manish Kumar","24","","LX-CEAG12-14:00:00-16:55:00"
"CE 630","Raaj Ramsankaran","8","1","1C-CE-218-10:35:00-11:30:001B-CE-218-09:30:00-10:25:001A-CE-218-08:30:00-09:25:00"
"CE 631","A. Juneja","11","9","9A-CE-218-15:30:00-16:55:009B-CE-218-15:30:00-16:55:00"
